file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
it-s-an-unusual-vision-of-a-treasure-ea390765,0.0,2.304,corpus,-52.59072265625,-53.947389673303675,2.054192415565756,15.681045324778971
watch-292b0901,0.0,0.744,corpus,-50.666322450380065,-50.319749196370445,2.050317728696715,23.89966967737108
nice-5929e58a,0.0,0.744,corpus,-47.469489020270274,-47.589898427327476,2.0462472137537095,21.95387272229278
we-can-hear-the-deer-near-us-0aeecbdb,0.0,1.56,corpus,-48.65495104667468,-48.6163461473253,2.046246359280924,22.91279387169857
house-5be93480,0.0,0.72,corpus,-46.20246378580729,-45.46203867594401,2.046246359280924,20.325559507226572
where-46148cc3,0.0,0.6,corpus,-47.695979817708334,-47.94073963165283,2.0462434270028154,21.10904471549607
here-0154c0da,0.0,0.576,corpus,-46.616316170528016,-45.88845443725586,2.0411418877474157,19.56558835110983
sure-e71ea0d3,0.0,0.648,corpus,-54.028076171875,-54.29689025878906,2.0411418877474157,20.401482900240097
in-june-we-use-the-blue-canoe-41fd686f,0.0,2.232,corpus,-48.43539798206278,-51.09299147756476,2.012595958469317,15.544556653817446
five-4db2c1df,0.0,0.72,corpus,-48.82444932725694,-49.09073384602865,2.0054387158767955,20.060954555475696
done-e5fd9cfe,0.0,0.6,corpus,-49.6139404296875,-49.4671745300293,2.0035167781511114,20.372000346452687
weekend-505eabdf,0.0,0.792,corpus,-52.699509246439874,-54.4546501159668,1.9840224204963568,18.900970907968762
today-2dd2bed7,0.0,0.648,corpus,-47.12184119591346,-49.773892402648926,1.9585927000010175,21.42263058938536
we-love-the-violin-very-much-baa4f2b6,0.0,1.968,corpus,-46.84137055837564,-45.68040008544922,1.9328520721731701,22.420494302557152
that-33b82201,0.0,0.48,corpus,-53.11962890625,-53.16868019104004,1.908882449188378,19.19570241314373
have-ff87cea4,0.0,0.648,corpus,-51.44225135216346,-51.33020528157552,1.9088823351308055,20.288983354198955
can-7e9219a0,0.0,0.648,corpus,-49.38268479567308,-49.28520711263021,1.9088821070156605,21.126616219722074
exam-8b39e279,0.0,0.792,corpus,-48.775038320806964,-53.86433868408203,1.9088816507853705,20.960500877758705
the-school-in-the-city-is-nice-0811e60e,0.0,1.848,corpus,-52.646732474662166,-54.76514153731497,1.902889751069918,19.860410755147264
young-boys-sing-long-songs-40ec4b69,0.0,2.04,corpus,-47.08113128063726,-48.163952589035034,1.900851182251306,20.390278481456118
work-e274eeff,0.0,0.576,corpus,-52.790211644665945,-52.60711161295573,1.8987074635412355,20.23849670525437
cook-f3ba4d99,0.0,0.6,corpus,-54.02090250651042,-55.38583246866862,1.8987069349916716,19.30859095795051
school-655f83be,0.0,0.72,corpus,-50.97607082790799,-52.45693111419678,1.893476926215057,18.843611085472922
my-brother-has-big-brown-eyes-and-black-hair-47561907,0.0,2.64,corpus,-49.79493297230113,-51.7377279873552,1.8755282851897235,13.947800667597878
year-4ff0b153,0.0,0.6,corpus,-47.581380208333336,-46.7399050394694,1.8755277916207842,19.054261822501775
